    INFO: 2024-02-22 17:11:19,087:               log.py:   20: Logging to C:\Users\Arjun Sarao\makeCV\mdpdf.log
   DEBUG: 2024-02-22 17:11:19,160:      pdf_renderer.py:  470: printSegment: In addition to my technical skills, my self-learning journey has equipped me with a solid foundation in Machine
   DEBUG: 2024-02-22 17:11:19,161:      pdf_renderer.py:  470: printSegment: Learning and Deep Learning. I
   DEBUG: 2024-02-22 17:11:19,161:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-02-22 17:11:19,183:      pdf_renderer.py:  470: printSegment: ve completed the Machine Learning Specialization from Stanford Online + Coursera
   DEBUG: 2024-02-22 17:11:19,196:      pdf_renderer.py:  470: printSegment: and the Deep Learning Specialization from Coursera. These courses have given me a deep understanding of
   DEBUG: 2024-02-22 17:11:19,203:      pdf_renderer.py:  470: printSegment: Supervised Machine Learning, Advanced Learning Algorithms, Unsupervised Learning, Recommenders,
   DEBUG: 2024-02-22 17:11:19,204:      pdf_renderer.py:  470: printSegment: Reinforcement Learning, Neural Networks, and Deep Learning. These skills can be particularly useful in optimizing
   DEBUG: 2024-02-22 17:11:19,205:      pdf_renderer.py:  470: printSegment: the simulator
   DEBUG: 2024-02-22 17:11:19,205:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-02-22 17:11:19,205:      pdf_renderer.py:  470: printSegment: s performance and adding new features.
   DEBUG: 2024-02-22 17:11:19,206:      pdf_renderer.py:  470: printSegment: I
   DEBUG: 2024-02-22 17:11:19,206:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-02-22 17:11:19,211:      pdf_renderer.py:  470: printSegment: m excited about the opportunity to contribute to ARM-LEG-Simulator and look forward to potentially bringing my
   DEBUG: 2024-02-22 17:11:19,211:      pdf_renderer.py:  470: printSegment: skills and experiences to your team. Thank you for considering my application.
   DEBUG: 2024-02-22 17:11:19,212:      pdf_renderer.py:  470: printSegment: Best regards,
   DEBUG: 2024-02-22 17:11:19,212:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-02-22 17:11:19,212:      pdf_renderer.py:  470: printSegment: Arjun Sarao
   DEBUG: 2024-02-22 17:11:19,214:      pdf_renderer.py:   53: 0, [1, 'ARM-LEG-Simulator Cover Letter', 1, 68.0]
